F54F11	Z83229.1
AL132846.2	Y43D4A
F42G10	Z48230.1
F40E10	Z69792.2
F38B7	Z74033.1
FO080999.1	T28F2
FO080533.1	K06H7
C06G4	FO080399.1
F23H11	FO081212.1
F10G7	FO081114.1
FO081121.2	R01H2
AL032635.1	Y51A2A
FO081073.1	Y9C12A
F59D8	FO081486.1
C07G3	FO080270.1
AL137227.2	F58D5
F43E2	FO080417.1
Y57G11C	Z99281.2
Z82082.1	ZC334
F22E5	FO081009.1
Y53C12A	Z99277.1
FO080519.1	Y51H7D
B0545	FO080226.1
C03A3	Z73423.2
FO081425.1	T27C10
FO081657.1	Y67D8A
F08D12	FO081086.1
FO080334.1	T20D4
F28G4	Z93381.1
W09D10	Z93785.1
C29F9	FO080710.2
FO081363.1	T20F7
C36C5	FO080796.1
F52F12	Z83228.1
C16B8	FO080559.2
C53C9	FO080934.1
F12E12	FO080882.1
AL021503.2	Y68A4A
AL032637.2	Y43F8C
F18A1	FO080212.2
AL021478.1	Y22F5B
E02A10	Z81053.2
Z22177.1	ZK512
B0523	FO080165.2
AL021176.1	Y43E12A
M142	Z73428.1
W01C9	Z49969.1
R186	Z78016.2
AL023835.1	Y37A1B
F22D3	FO080140.2
FO080850.1	R148
F22F7	FO080877.1
FO081638.1	M01E10
K10G9	Z36282.2
FO081083.1	H23L24
AL023857.1	Y94A7A
FO080416.2	K02A2
T15D6	Z83125.2
W09C5	Z82077.2
K02C4	Z47811.1
R05H10	Z83119.1
M163	Z79603.1
C33D9	Z68159.1
C41G7	Z81048.1
C33G8	FO080765.1
FO081020.1	R02C2
F26A1	FO080790.2
F21F8	FO080569.1
FO081307.1	Y46H3A
T25C12	Z66566.2
F49B2	Z81543.1
B0001	Z69634.1
F57A10	Z96048.1
F46C8	FO081392.2
F35H8	Z36752.2
FO081545.2	R12C12
T07C5	Z50006.2
C41H7	FO080208.1
